O95633	P00747
O00444	P49639
O14492	Q02447
O43639	Q53GG5
P02748	Q8WTT0
P11362	Q96A47
O43294	Q96P48
P42574	Q9HBU1
Q92752	Q9UNN5
Q07157	Q13009
P11940	P29692
Q8TDY4	Q92963
P98082	Q9BRR9
Q96P64	Q9UKG1
Q969L4	Q9UKW4
Q5T6S3	Q9Y333
P49757	Q9Y3P9
O00231	O00425
O00231	P31483
Q9H244	Q9NZG7
O00468	Q13424
Q8IWE5	Q8TED9
P15311	Q9UHD9
Q7L591	Q9Y2H5
Q8IZC4	Q9Y2H5
Q8TD55	Q9Y2H5
P29074	P54756
P49763	Q13203
O00160	Q12965
P02760	P02763
O14966	Q03113
P53365	Q13017
O94813	O95140
P12755	P29466
P01111	P51513
