O75144	Q5TFQ8
P30968	Q969F8
P12111	Q9BWV1
Q8N126	Q9BZZ2
P30411	Q9H3N8
P06729	Q9NQS3
P33032	Q9NSD7
P48039	Q9NSD7
P78310	Q9NZQ7
O15085	O60260
P07949	P31751
P07948	Q15831
P60763	Q2M1Z3
P60953	Q52LW3
P61587	Q68EM7
O15357	Q6P9H4
Q15382	Q7Z628
P20340	Q86VI3
P61225	Q86YV0
Q06187	Q86Z02
P07949	Q8IV63
P20339	Q8NDX1
Q86YV0	Q8WXH6
Q5VWQ8	Q92963
Q15283	Q969H4
Q15375	Q969H4
Q86X27	Q969H4
Q52LW3	Q969Q5
Q12979	Q96BM9
P57729	Q96PX9
Q92538	Q99578
Q92538	Q9BPW5
P15056	Q9C0K7
Q86YV0	Q9HBH0
O95716	Q9NYI0
Q8IYK8	Q9NYI0
P56559	Q9UIA0
Q92730	Q9UJF2
Q99578	Q9UJF2
P20338	Q9UKW4
Q13636	Q9UKW4
Q9NYI0	Q9UL25
Q86YV0	Q9ULC3
Q9UJF2	Q9Y3L5
Q8IXI1	Q9Y4F1
Q9BQI7	Q9Y689
P15018	Q03135
P61018	Q9H0Q0
Q969J3	Q9ULW5
O75396	Q9Y2Q5
A1X283	O75962
P14317	Q5TCZ1
P20936	Q6UXY1
P14317	Q8NFA2
P80192	Q9BX66
O15511	P02549
O60565	P12644
Q03135	Q9BQB6
O95970	Q8WXF7
P01111	P61018
Q8NHL6	Q95460
P22607	Q08881
P23458	Q15375
Q14155	Q6ZUT3
P54578	Q7Z6J0
P16591	Q92529
Q6ZUT3	Q9BY11
O43566	Q9UKW4
P16885	Q9UNN5
Q9P2A4	Q9UNN5
Q15746	Q96BR1
P49848	Q71UI9
P08134	Q13177
Q8NHU6	Q9BXT8
P17252	Q9UKE5
P11310	Q9NUZ1
O96013	P49703
P02760	Q04756
P61586	Q8N392
O96013	Q9H082
P56177	Q9H3D4
P13945	P32245
O60663	P52954
P13667	Q13087
P21583	Q9HBE4
P35609	Q9NPB6
O95243	Q14191
Q92626	Q9NYA1
P01112	P07919
Q15223	Q6I9Y2
P04271	Q86SG5
O43186	P26441
P01130	Q03405
O00468	Q8NBP7
P0C0S8	P0C0S8
P30740	P48594
